model	file	W2_statistic	p_value
LG+C60+R3	seq_38.fa_gap.sitewise_entropy.txt	3.708738e-02	9.479585e-01
LG+C60+R3	seq_39.fa_gap.sitewise_entropy.txt	1.999217e-01	2.677323e-01
LG+C60+R3	seq_4.fa_gap.sitewise_entropy.txt	2.104037e-01	2.482889e-01
LG+C60+R3	seq_40.fa_gap.sitewise_entropy.txt	2.789247e-02	9.828134e-01
LG+C60+R3	seq_41.fa_gap.sitewise_entropy.txt	3.973732e-02	9.349445e-01
LG+C60+R3	seq_42.fa_gap.sitewise_entropy.txt	2.657642e-01	1.694107e-01
LG+C60+R3	seq_43.fa_gap.sitewise_entropy.txt	1.115657e-01	5.314217e-01
LG+C60+R3	seq_44.fa_gap.sitewise_entropy.txt	8.004454e-02	6.920573e-01
LG+C60+R3	seq_45.fa_gap.sitewise_entropy.txt	1.228730e-01	4.841996e-01
LG+C60+R3	seq_46.fa_gap.sitewise_entropy.txt	9.772994e-02	5.964992e-01
LG+C60+R3	seq_47.fa_gap.sitewise_entropy.txt	5.657947e-02	8.360353e-01
LG+C60+R3	seq_48.fa_gap.sitewise_entropy.txt	5.779549e-02	8.283905e-01
LG+C60+R3	seq_49.fa_gap.sitewise_entropy.txt	6.490779e-02	7.836560e-01
LG+C60+R3	seq_5.fa_gap.sitewise_entropy.txt	3.979419e-02	9.346537e-01
LG+C60+R3	seq_50.fa_gap.sitewise_entropy.txt	1.041710e-01	5.651632e-01
LG+C60+R3	seq_51.fa_gap.sitewise_entropy.txt	6.063726e-02	8.104894e-01
LG+C60+R3	seq_52.fa_gap.sitewise_entropy.txt	4.286736e-01	6.076238e-02
LG+C60+R3	seq_53.fa_gap.sitewise_entropy.txt	1.828112e-01	3.035348e-01
LG+C60+R3	seq_54.fa_gap.sitewise_entropy.txt	1.177703e-01	5.048780e-01
LG+C60+R3	seq_55.fa_gap.sitewise_entropy.txt	3.715500e-02	9.476402e-01
